name,age,residence,marital_status,children,education,gender,nationality_single_res,nationality_ISO3_forbes,multiple_nationality_ISO3,rank,networth,asset_type,asset_type2,label_bloomberg,company_name,note,value,total,own_share,tCO2e_billionaire_baseline,tCO2e_asset_baseline,tCO2e_billionaire_S1_publicCR,tCO2e_asset_S1_publicCR,tCO2e_billionaire_S1S2,tCO2e_asset_S1S2,liquidity_weight,liquidity_description,ICB_Industry_name,ICB_Subsector_name,ICB_Subsector_code,Emissions_source,Custodial_chains
B001,65,"Bal Harbour, Florida",Divorced,0,"Drop Out, Harvard University",F,USA,USA,USA;DEU;NZL,1,180000000000,public,public equity,Company_A,Company_A,note_1,730160000000,912700000000,0.8,12294248,15367810,12294248,15367810,62700664.800000004,78375831,1,highly liquid,Technology,Computer Services,10101010,Refinitiv,No
B001,65,"Bal Harbour, Florida",Divorced,0,"Drop Out, Harvard University",F,USA,USA,USA;DEU;NZL,1,180000000000,public,public equity,Company_B,Company_B,note_2,38304000000,63840000000,0.6,83327.4,138879,75527.4,125879,341642.3399999999,569403.8999999999,1,highly liquid,Industrials,Aerospace & Defense,50201010,Refinitiv,Yes
B002,59,"Beijing, China",Engaged,3,"Bachelor of Arts/Science, Qingdao University of Science and Technology",F,CHN,CHN,CHN,2,150000000000,public,public equity,Company_B,Company_B,note_2,19152000000,63840000000,0.3,41663.7,138879,37763.7,125879,170821.16999999995,569403.8999999999,1,highly liquid,Industrials,Aerospace & Defense,50201010,Refinitiv,Yes
B003,50,"Marseille, France",Married,4,"Bachelor of Arts/Science, University of Arkansas",F,FRA,FRA,FRA,3,120000000000,public,public equity,Company_C,Company_C,note_3,24570000000,24570000000,1,235814,235814,235814,235814,872511.8,872511.8,1,highly liquid,Basic Materials,Iron and Steel,55102010,Refinitiv,No
B004,78,"Pune, India",In Relationship,0,"Master of Science, University of Mumbai",F,IND,IND,IND,4,90000000000,public,public equity,Company_D,Company_D,note_4,18116000000,45290000000,0.4,152000,380000,152000,380000,775200,1937999.9999999998,1,highly liquid,Utilities,Conventional Electricity,65101015,Ratio,No
B005,76,"Modena, Italy","Separated,Widowed",1,"Master of Arts, University of Cambridge",M,ITA,ITA,ITA,5,70000000000,public,public equity,Company_D,Company_D,note_4,22645000000,45290000000,0.5,190000,380000,190000,380000,968999.9999999999,1937999.9999999998,1,highly liquid,Utilities,Conventional Electricity,65101015,Ratio,No
B006,52,"Sao Paulo, Brazil",Remarried,2,"Diploma, High School",M,BRA,BRA,BRA,6,55000000000,public,public equity,Company_E,Company_E,note_5,1522500000,2175000000,0.7,663215,947450,663215,947450,2984467.5,4263525,1,highly liquid,Telecommunications,Telecommunications Equipment,15101010,CR US 2019,No
B007,61,"Truckee, California",Widowed,0,"Drop Out, University of Miami",M,USA,USA,USA,7,45000000000,private,private equity,Company_F,Company_F,note_6,810400000,810400000,1,840174,840174,840174,840174,3444713.4,3444713.4,0.5,semi-liquid,Energy,Integrated Oil and Gas,60101000,CR US 2019,No
B008,73,"Moscow, Russia",Single,2,"Bachelor in Arts/Science, University of Stockholm",F,RUS,RUS,RUS,8,35000000000,private,private equity,Company_G,Company_G,note_7,45829,65470,0.7,0,0,0,0,700,1000,0.5,semi-liquid,Financials,Asset Managers and Custodians,30202010,CR US 2019,Yes
B002,59,"Beijing, China",Engaged,3,"Bachelor of Arts/Science, Qingdao University of Science and Technology",F,CHN,CHN,CHN,2,150000000000,private,private equity,Company_G,Company_G,note_7,13094,65470,0.2,0,0,0,0,200,1000,0.5,semi-liquid,Financials,Asset Managers and Custodians,30202010,CR US 2019,Yes
B003,50,"Marseille, France",Married,4,"Bachelor of Arts/Science, University of Arkansas",F,FRA,FRA,FRA,3,120000000000,private,private equity,Company_H,Company_H,note_8,3251000000,3251000000,1,20739,20739,30678,30678,80882.09999999999,80882.09999999999,0.5,semi-liquid,Health Care,Pharmaceuticals,20103015,CR US 2019,No
B004,78,"Pune, India",In Relationship,0,"Master of Science, University of Mumbai",F,IND,IND,IND,4,90000000000,private,infrastructure/business asset,Infrastructure_asset,Infrastructure_asset,note_9,480780000,801300000,0.6,9240,15400,11149.199999999999,18582,37883.99999999999,63139.99999999999,0,mostly illiquid,NA,NA,NA,CR France 2017,No
